battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
768,1,0.5,1,1,0,45,0.1,175,4,16,1164,1376,3947,6,1,12,1,1,0
1856,1,1.9,1,9,1,15,0.5,160,3,14,450,714,1514,7,1,13,1,1,0
900,1,0.5,0,11,1,64,0.7,149,4,12,164,708,942,13,5,2,1,1,0
1729,0,2.3,1,0,0,38,0.2,136,7,8,77,1910,700,8,2,7,1,1,1
1533,1,2.8,0,3,0,42,0.2,87,1,13,1316,1618,3246,10,2,8,0,1,0
1210,1,2.3,0,0,0,63,0.9,141,6,4,51,1761,977,14,6,20,1,0,0
1880,1,1.8,1,1,1,10,0.5,198,8,4,1664,1708,3538,19,16,17,1,0,1
996,0,0.5,1,14,0,61,0.8,174,7,15,400,989,1235,11,10,16,1,1,1
1175,0,3,1,12,1,40,0.1,172,5,18,812,1251,1507,15,14,18,1,1,0
1773,0,0.5,1,7,0,33,0.3,143,5,13,831,1170,1994,16,9,20,1,0,0
1263,0,2.4,1,11,1,54,0.6,100,5,14,12,1857,458,12,5,15,1,0,0
1956,0,1.2,1,10,1,5,0.8,156,4,11,870,1753,2130,7,3,10,1,1,1
992,0,1.6,1,10,0,27,0.3,162,4,14,106,767,3894,15,9,13,1,0,1
911,1,1.7,0,1,1,13,0.3,126,5,2,713,760,1843,13,6,11,1,0,1
1979,0,0.5,1,15,0,54,0.3,136,3,19,669,1311,3151,12,1,20,1,1,1
1899,0,0.5,1,0,1,55,0.3,93,4,0,1359,1981,1796,7,4,11,1,0,1
1649,1,0.8,1,1,1,40,0.1,159,3,3,177,586,2755,15,9,3,1,0,1
1095,1,1.8,1,9,0,47,0.3,152,6,15,354,1827,1334,12,2,12,0,0,1
1074,0,0.7,0,0,1,61,0.6,117,4,11,305,1770,2791,7,1,12,1,0,1
656,0,2.7,1,0,1,48,0.2,164,2,0,303,508,1132,5,0,14,1,0,0
1394,1,2.7,1,7,0,8,0.8,150,3,9,215,1018,730,15,7,4,0,1,1
1632,1,1.1,0,2,1,45,0.8,132,4,3,22,1256,379,18,13,19,1,0,0
1225,0,2.9,0,13,0,35,0.5,128,3,17,1324,1490,1261,12,4,15,0,0,0
1337,1,2.4,1,0,0,48,0.9,107,6,2,819,1129,3213,10,5,15,0,0,0
1178,1,1.1,1,0,1,11,0.5,98,2,1,1549,1661,2106,17,10,4,1,0,1
1269,0,1.5,1,1,0,51,0.7,180,4,19,410,1782,827,15,6,12,1,1,0
1526,1,1.2,0,7,1,32,0.5,128,4,12,1152,1592,647,19,3,18,1,0,1
986,0,0.7,1,7,1,16,0.4,144,8,9,234,628,300,8,5,7,1,0,1
848,0,0.5,1,1,1,41,0.2,171,2,2,388,1015,3939,6,3,3,1,1,0
1904,1,0.5,1,8,0,14,0.5,95,4,13,636,828,2091,8,0,6,0,1,1
803,1,2.2,1,0,0,16,0.1,105,1,0,199,736,1492,17,12,18,1,0,0
1399,1,1.9,1,1,0,56,0.3,153,1,15,130,611,3128,17,2,19,1,1,0
788,1,1.5,1,0,1,22,0.5,163,4,6,1114,1732,3750,13,10,12,1,0,1
579,1,1.1,0,6,1,58,0.2,125,1,9,786,1685,1435,18,9,10,1,0,0
1010,0,0.7,1,4,1,28,0.5,195,8,5,117,841,3302,14,2,7,1,1,0
530,1,0.5,1,0,0,47,0.5,93,3,2,463,912,3455,19,8,2,1,1,1
1289,1,1.8,0,1,0,64,0.6,125,7,14,173,548,2782,9,3,14,0,0,1
1877,1,0.5,0,4,0,10,0.9,123,8,6,134,610,3969,6,0,7,0,0,1
1764,0,2.7,0,11,1,48,0.9,90,7,17,444,581,1589,19,10,20,1,1,1
1709,0,2.2,1,1,1,13,0.6,191,6,6,74,516,3899,16,13,3,1,0,1
1690,0,1.3,1,0,0,28,0.9,85,3,1,1304,1332,3571,18,2,6,1,0,1
600,0,2.5,1,3,0,9,0.2,145,4,10,584,714,2800,17,6,5,0,1,0
743,0,0.5,0,9,1,53,0.3,149,2,10,670,1070,2938,9,3,13,1,1,1
1850,0,2.2,1,9,0,41,0.8,133,8,13,27,518,3032,8,1,10,1,1,1
1297,0,0.5,1,12,0,17,0.1,196,1,14,559,813,3652,19,4,12,0,1,1
1706,0,1.8,1,10,1,44,0.2,137,5,13,716,1440,3238,5,3,20,1,0,0
1967,0,0.5,0,11,1,23,0.6,135,5,16,931,1726,325,16,0,3,1,0,1
1392,1,0.5,1,6,0,63,0.5,181,2,9,573,1468,3850,12,8,13,0,1,0
1248,1,2.1,1,2,1,12,0.1,170,2,3,328,1378,1266,11,0,6,1,1,0
894,1,0.5,1,2,0,27,0.3,192,2,6,932,1576,3454,9,4,14,0,1,0
1829,0,0.5,0,2,1,54,0.6,98,3,20,383,1160,1634,7,0,12,1,0,0
1372,0,0.6,0,3,1,42,0.7,124,6,10,68,1998,3208,18,5,9,1,1,1
1429,1,1,0,7,0,11,0.7,150,4,8,436,813,1955,7,5,2,1,1,0
706,0,0.5,1,10,1,4,0.8,190,5,18,204,966,3735,12,7,20,1,1,1
649,0,1.9,0,0,0,51,0.6,179,4,12,1174,1388,3446,11,5,18,0,1,1
1137,1,0.8,0,3,1,7,1,122,3,18,537,620,946,13,4,7,1,0,1
1320,1,0.5,1,11,1,6,0.2,164,1,14,1034,1836,1626,11,9,14,1,0,1
792,0,0.8,0,7,0,48,0.5,144,4,16,371,888,1583,15,2,20,0,1,1
918,1,2.7,0,7,0,25,0.9,149,7,8,178,1850,3676,6,2,2,1,0,1
929,1,0.5,1,7,1,13,1,146,7,8,213,1714,1704,15,2,5,1,0,0
767,1,0.5,1,4,0,30,0.8,100,5,8,798,1955,3485,9,1,4,1,0,1
1739,0,2.6,0,9,0,39,0.5,135,8,10,86,1957,1882,13,12,8,1,1,0
1315,0,0.5,0,0,1,15,0.4,134,1,0,489,624,3928,8,4,8,1,0,1
1388,0,1.4,1,4,1,31,0.6,184,1,14,1338,1443,346,8,2,12,1,0,0
1981,0,2.5,1,1,0,36,0.3,94,4,2,128,1457,395,9,7,15,0,1,0
569,0,0.5,1,1,1,53,1,170,8,20,457,1555,1243,17,10,10,1,1,0
1930,0,1.3,0,2,0,57,0.2,151,1,9,678,1117,682,16,10,8,0,0,1
725,1,0.5,0,10,0,61,0.8,108,3,17,260,508,3074,7,6,12,0,0,1
1690,0,2.2,0,0,0,51,0.8,130,8,15,713,1092,451,6,4,7,0,0,1
712,1,1.4,0,1,1,33,0.2,86,4,5,163,799,1471,15,0,10,1,0,0
1603,1,0.5,1,8,1,37,1,95,8,9,1430,1622,1748,15,10,5,1,1,0
1850,1,2.8,0,0,0,18,0.1,132,8,3,633,1382,1853,15,0,9,1,1,0
1472,1,0.7,1,4,1,41,1,145,3,6,242,619,1514,8,1,16,1,1,1
1858,0,0.7,1,1,1,43,0.2,167,5,3,1154,1473,1886,9,3,7,1,1,1
1543,1,2.6,1,0,1,46,0.8,116,8,13,48,679,3023,6,4,4,1,1,0
652,1,2.8,1,4,0,37,0.8,174,6,11,416,1652,2904,16,8,16,0,0,0
546,0,1.8,1,6,1,55,0.9,100,6,12,493,1477,628,12,3,10,1,1,1
1408,1,1.4,1,1,0,6,0.9,145,8,3,621,692,1833,9,1,19,0,1,0
1021,0,1.5,1,3,1,31,0.1,97,7,10,189,1327,1066,18,15,17,1,1,1
567,0,1.4,1,14,0,60,0.1,111,2,15,152,1326,1150,17,16,4,1,0,1
1967,1,2.6,1,4,0,62,1,91,8,10,1355,1850,2839,13,7,10,1,0,0
1658,0,2,1,8,1,61,0.1,180,3,20,443,1100,2857,7,1,5,1,0,1
1088,1,3,1,2,1,52,0.3,164,7,4,86,588,1447,19,16,15,1,1,1
542,1,0.7,0,2,1,12,0.2,185,2,3,1674,1969,3445,17,2,4,1,1,1
788,0,1.6,1,6,1,52,0.1,96,1,20,530,1436,1941,14,0,19,1,1,0
576,1,2.5,1,10,0,57,0.7,179,5,15,1009,1656,2522,11,5,12,0,1,0
950,1,1.6,0,5,1,41,0.5,188,3,20,193,727,2932,10,7,20,1,0,0
518,1,0.8,0,3,1,17,0.5,133,3,7,564,765,2239,7,3,7,1,1,1
1996,1,1.9,0,4,0,55,0.3,81,7,8,890,1661,1852,8,2,4,0,1,1
1197,0,2.9,0,6,1,38,0.1,83,6,17,1516,1910,3525,13,9,16,1,0,0
1006,1,2.5,1,9,0,14,0.7,186,1,12,348,640,1955,17,6,9,1,1,0
1679,1,1.5,0,2,1,4,0.1,133,4,3,349,531,1557,16,15,12,1,0,1
1262,0,1.4,1,7,1,64,0.1,116,7,16,37,1018,3060,5,1,4,1,1,1
560,0,1.3,1,13,0,29,1,160,1,19,906,1189,2832,16,1,7,1,0,0
904,0,2.4,0,5,1,55,0.6,158,4,13,529,764,2008,6,1,16,1,0,0
1834,1,2.1,0,1,1,55,0.1,137,3,10,670,1179,2420,15,3,8,1,0,1
681,0,1.2,1,8,0,13,0.8,87,3,17,288,621,292,12,10,18,0,0,1
687,0,0.6,1,13,1,14,0.4,185,2,16,721,1620,1580,19,4,19,1,1,1
863,0,2.9,0,11,1,52,0.8,119,6,13,1060,1547,1345,7,0,20,1,0,0
518,1,2.7,0,0,1,45,0.7,159,6,15,564,739,1208,10,9,9,1,1,0
1488,0,1.8,0,0,1,2,0.1,124,4,0,765,777,3349,17,6,2,1,0,0
944,0,2.4,0,0,0,35,0.5,127,3,1,7,719,2804,9,4,10,1,1,0
1283,0,0.5,1,6,0,48,0.5,176,6,9,880,964,1182,11,8,17,1,1,0
817,1,1,1,13,1,40,0.8,140,4,17,1180,1790,436,19,6,14,1,0,1
804,0,2.6,1,2,0,49,0.6,105,1,18,638,939,2256,16,1,7,1,0,1
1883,1,2.6,0,2,1,50,0.1,169,5,3,313,561,427,17,8,10,1,0,1
1177,0,0.5,0,5,1,2,0.9,141,7,12,490,793,715,19,5,4,1,0,0
1765,1,2,0,7,0,18,0.9,85,4,8,791,1580,1199,7,4,10,1,0,0
1997,0,2.1,0,10,1,60,0.7,84,8,16,1130,1687,788,17,15,8,1,0,1
989,1,2.6,1,1,0,14,0.2,148,4,11,513,1089,507,13,10,13,0,1,1
1370,1,0.6,1,0,1,56,0.5,124,6,3,919,1113,974,5,4,15,1,0,0
861,0,0.5,0,0,0,64,0.8,105,7,1,1376,1864,600,15,1,12,0,1,0
1745,0,1.8,0,0,0,45,0.1,110,2,2,1070,1445,2352,11,9,16,1,0,1
1187,0,0.6,1,0,1,4,0.7,92,8,0,709,1306,2518,14,12,20,1,1,1
1422,1,1.8,0,12,0,3,0.9,145,1,13,1023,1223,3941,9,7,2,0,0,0
658,1,2.4,0,0,1,38,1,94,8,1,479,1300,2585,19,2,8,1,0,0
1180,1,2.3,1,0,1,32,0.8,97,2,1,1603,1762,3504,17,7,10,1,1,1
521,1,2.6,1,1,1,64,0.8,200,4,11,575,1089,834,6,5,12,1,1,1
666,0,1.1,0,1,1,28,0.9,179,1,13,157,1466,3850,7,5,9,1,1,1
805,1,1.5,0,0,0,25,0.3,174,2,3,522,553,1580,15,13,3,1,0,0
1008,1,2.9,0,0,0,39,0.9,161,6,5,565,1228,3589,14,1,18,1,0,1
986,0,2.8,0,0,1,26,0.1,80,8,9,0,1214,1316,7,5,8,1,0,0
1655,0,2,0,0,0,23,0.6,192,2,1,586,641,1872,11,9,13,1,1,0
1391,1,0.5,0,0,1,53,0.2,114,5,1,996,1521,1114,8,0,17,1,0,1
1042,1,0.5,1,11,0,13,0.1,148,3,20,98,569,1715,17,7,7,1,1,1
916,1,1.1,1,5,1,44,0.9,116,3,16,893,1132,2367,8,5,7,1,0,1
681,0,2.6,0,1,0,29,0.9,162,3,7,1262,1332,575,15,5,4,1,1,1
1224,1,1.1,1,1,1,34,1,138,6,3,1545,1751,2992,13,5,3,1,1,0
1234,0,2.1,1,4,1,44,0.4,107,3,17,797,1054,2819,13,3,8,1,0,1
1093,1,2.7,0,8,0,63,0.5,138,8,9,605,1966,3556,13,2,13,0,0,1
583,0,0.5,0,9,1,33,0.9,136,5,18,1673,1774,3236,12,9,13,1,0,0
1598,1,1,1,8,1,49,0.5,115,2,14,537,1233,1313,12,2,7,1,1,0
1988,1,2.8,1,3,0,34,0.4,163,3,16,1221,1981,2872,7,6,20,1,1,1
1746,0,0.5,1,9,0,51,0.8,184,7,19,754,790,1822,18,17,15,0,1,0
907,1,2.7,0,8,0,53,0.7,156,2,13,10,1881,3469,8,5,12,1,0,0
1472,0,0.5,0,3,1,53,0.7,103,1,4,438,690,2001,14,0,14,1,1,1
916,1,1.3,0,5,0,10,0.8,173,4,8,43,1012,3706,9,8,15,0,1,0
1427,1,0.8,1,2,0,31,0.9,186,1,20,934,1005,2542,7,6,10,0,0,0
1101,1,2.9,1,3,0,5,0.5,141,5,7,90,642,1567,15,2,11,1,1,0
723,1,0.5,0,0,0,36,0.8,104,4,0,263,514,2669,17,6,16,0,0,1
1403,0,0.7,1,4,0,32,0.1,117,1,5,257,551,2499,16,10,4,0,0,1
657,1,0.8,1,4,0,45,0.1,87,1,6,843,1260,2273,15,12,10,0,1,0
1688,1,0.8,0,0,0,14,0.9,118,1,2,48,1425,1773,13,0,18,1,1,1
1086,0,0.5,0,10,0,35,0.6,125,7,17,577,1296,421,7,5,6,1,0,1
876,1,1.1,0,2,1,48,0.9,196,2,3,524,1225,630,17,9,18,1,0,1
1065,0,0.5,0,0,0,25,0.6,189,6,1,776,996,1114,5,1,19,0,0,1
1235,0,1.5,0,3,0,33,0.1,164,8,16,633,1891,1623,10,3,20,1,1,1
1959,1,2.7,0,0,1,2,0.2,92,3,11,992,1418,2125,14,7,8,1,1,0
650,1,1.5,0,12,0,48,0.8,187,4,14,986,1291,1622,8,6,19,1,1,1
1465,1,2.9,0,0,0,38,0.3,88,1,7,478,613,1162,14,10,10,1,1,1
1030,0,0.9,0,6,1,29,0.1,113,1,7,174,624,3762,5,4,12,1,0,0
853,1,1.9,1,17,1,26,0.5,94,6,18,114,817,3069,19,17,20,1,0,0
744,1,2.2,0,6,1,52,0.9,196,4,7,268,600,1571,7,5,18,1,1,1
583,1,1.1,1,15,0,24,0.4,168,2,19,301,1111,3260,14,6,14,1,1,0
690,0,0.5,0,2,0,62,0.3,88,1,9,633,1240,3206,16,10,19,1,0,0
683,1,1.9,1,16,1,56,0.1,190,1,17,144,585,592,17,9,3,1,0,0
590,0,2.3,1,2,0,30,0.3,178,3,14,486,825,1188,18,11,14,1,0,1
1266,1,1,0,0,1,2,0.7,87,7,1,640,1357,3067,11,10,16,1,0,1
815,1,1.8,0,9,0,18,0.9,83,7,12,243,525,2131,17,7,5,0,1,0
1893,1,1.5,1,0,1,42,0.5,179,1,3,1133,1851,1425,19,1,10,1,0,0
1202,0,2.5,1,3,0,22,0.4,112,2,8,1900,1959,291,5,2,4,0,0,0
1577,1,1.5,0,16,1,3,0.7,180,8,17,523,573,3116,13,6,16,1,1,0
1234,0,2.9,0,8,1,44,0.8,129,1,12,1783,1891,2440,7,4,19,1,1,0
717,0,1.8,0,1,1,25,0.4,173,5,8,668,1587,3631,6,5,6,1,0,1
1074,1,1.5,0,5,0,35,0.6,193,4,13,269,597,1104,16,10,15,0,1,0
1439,1,1.2,0,11,1,58,0.2,183,1,20,794,1552,3069,17,11,2,1,1,0
983,1,1.6,0,7,1,55,0.4,168,8,8,205,963,1425,14,0,4,1,1,0
1988,0,2.5,0,7,1,63,0.6,153,4,11,615,937,2276,13,7,11,1,0,0
1692,0,1.3,1,0,1,25,0.7,149,3,12,1111,1898,3192,9,4,3,1,1,1
718,1,0.5,1,2,0,35,0.9,181,4,5,1226,1763,3021,10,4,12,0,0,1
1519,0,0.5,0,0,1,36,0.6,93,8,2,661,1852,3082,18,11,9,1,0,0
776,0,3,1,9,0,9,0.5,110,2,12,584,974,1346,5,2,3,0,0,1
881,1,2.8,0,1,0,36,0.5,167,1,6,1381,1444,2354,19,10,5,1,1,1
1018,0,0.6,1,0,1,25,0.8,152,7,2,292,616,732,12,8,13,1,1,0
1031,1,0.5,1,2,1,31,0.1,82,8,19,737,1404,2305,10,4,4,1,1,0
875,0,1,0,14,0,37,0.6,151,7,20,1289,1668,2985,6,1,9,1,1,1
1341,0,1,0,5,1,40,0.2,128,5,12,1434,1700,265,19,3,3,1,1,1
560,1,2.4,0,4,1,5,0.3,106,1,8,1338,1386,2050,18,13,6,1,0,0
1719,0,2.1,0,0,1,63,0.7,189,7,2,589,1637,1669,14,0,13,1,0,1
1703,0,1.6,0,16,1,43,1,139,8,17,178,1972,585,13,11,17,1,1,1
1408,1,1.8,0,1,0,59,0.8,168,1,2,716,1470,342,8,0,8,1,0,1
701,1,0.8,0,3,0,53,0.2,87,4,7,1063,1149,1972,9,8,5,1,0,0
1560,1,0.5,0,14,0,47,0.3,172,2,18,910,1908,1540,17,7,3,0,0,0
695,1,1,0,4,0,51,0.8,93,5,5,174,538,2463,7,2,4,1,1,1
1487,0,0.6,0,18,1,6,0.8,191,4,19,665,1072,3259,11,9,13,1,0,1
1546,1,2.7,0,3,0,55,0.2,115,7,14,1425,1594,3371,16,7,15,0,0,1
511,1,0.7,0,12,1,43,0.4,120,4,15,1291,1583,3370,16,5,6,1,0,0
507,0,1.1,0,5,0,33,0.6,186,1,6,535,897,2884,18,7,7,0,0,0
1490,1,1.1,0,2,0,10,0.6,130,2,7,1357,1826,2994,16,1,8,1,0,1
1859,0,0.5,0,0,1,52,1,187,1,2,651,966,1604,15,12,10,1,0,0
1257,0,1.8,0,3,1,31,0.6,155,5,10,1006,1533,2014,15,8,12,1,0,0
926,0,2.7,1,0,1,29,0.7,118,5,18,349,1594,2709,5,4,18,1,0,1
1303,0,0.5,0,2,0,7,0.6,98,4,5,740,1908,2865,17,3,12,0,0,0
657,0,1.6,1,0,0,35,0.6,143,5,14,1189,1545,3617,17,14,14,0,0,1
1812,0,0.9,1,9,0,44,0.2,197,3,16,299,1212,3814,9,6,13,1,1,0
1943,0,0.5,1,0,1,29,0.4,121,1,1,440,1126,1990,5,2,11,1,1,1
1082,1,0.9,0,4,1,24,0.9,167,7,9,425,761,1428,16,0,12,1,1,0
721,1,2.6,0,1,0,49,0.6,168,4,8,35,598,3473,15,8,17,0,0,0
654,1,1.5,1,2,0,56,0.7,122,1,4,441,520,2609,7,2,16,1,1,1
1948,1,0.7,0,2,0,31,0.4,122,2,7,968,1208,2070,5,3,5,1,0,1
1242,0,1.8,1,4,1,56,0.1,122,1,8,753,1785,2620,18,11,3,1,0,1
